region;value;age
CiudadReal;5523;24
Cordoba;8598;24
CoruaA;9062;24
Cuenca;1990;24
Gipuzkoa;6424;24
Girona;8058;24
Granada;9923;24
Guadalajara;2554;24
Huelva;5620;24
Huesca;2095;24
Jaen;7466;24
Leon;3716;24
Lleida;4327;24
Lugo;2561;24
Madrid;68464;24
Malaga;16212;24
Murcia;16508;24
Navarra;6517;24
Ourense;2437;24
Palencia;1424;24
PalmasLas;12680;24
Pontevedra;8259;24
Rioja La;2900;24
Salamanca;2917;24
Santa Cruz de Tenerife;11804;24
Segovia;1513;24
Sevilla;20363;24
Soria;831;24
Tarragona;7974;24
Teruel;1296;24
Toledo;6997;24
Valencia/Valencia;25076;24
Valladolid;4383;24
Zamora;1386;24
Zaragoza;9145;24
Ceuta;1067;24
Melilla;1205;24
Albacete;4235;25
Alicante/Alacant;18443;25
Almeria;8272;25
Araba/Alava;2791;25
Asturias;7797;25
Avila;1454;25
Badajoz;7585;25
Balears Illes;13495;25
Barcelona;59837;25
Bizkaia;9650;25
Burgos;3145;25
Caceres;3941;25
Cadiz;13167;25
Cantabria;4854;25
Castellon/Castello;5538;25
CiudadReal;5686;25
Cordoba;8991;25
CoruaA;9525;25
Cuenca;2028;25
Gipuzkoa;6404;25
Girona;8226;25
Granada;10214;25
Guadalajara;2548;25
Huelva;5812;25
Huesca;2070;25
Jaen;7697;25
Leon;3783;25
Lleida;4380;25
Lugo;2728;25
Madrid;71719;25
Malaga;16767;25
Murcia;16769;25
Navarra;6504;25
Ourense;2556;25
Palencia;1424;25
PalmasLas;13155;25
Pontevedra;8649;25
Rioja La;2920;25
Salamanca;3040;25
Santa Cruz de Tenerife;12267;25
Segovia;1505;25
Sevilla;21267;25
Soria;833;25
Tarragona;7964;25
Teruel;1353;25
Toledo;7081;25
Valencia/Valencia;25830;25
Valladolid;4450;25
Zamora;1432;25
Zaragoza;9358;25
Ceuta;1108;25
Melilla;1181;25
Albacete;4294;26
Alicante/Alacant;19069;26
Almeria;8665;26
Araba/Alava;2899;26
Asturias;8115;26
Avila;1455;26
Badajoz;7858;26
Balears Illes;14397;26
Barcelona;62336;26
Bizkaia;9955;26
Burgos;3232;26
Caceres;4027;26
Cadiz;13718;26
Cantabria;5103;26
Castellon/Castello;5650;26
CiudadReal;5776;26
Cordoba;9254;26
CoruaA;9878;26
Cuenca;2154;26
Gipuzkoa;6507;26
Girona;8290;26
Granada;10765;26
Guadalajara;2602;26
Huelva;6026;26
Huesca;2101;26
Jaen;7958;26
Leon;3974;26
Lleida;4530;26
Lugo;2870;26
Madrid;75023;26
Malaga;17785;26
Murcia;17449;26
Navarra;6489;26
Ourense;2658;26
Palencia;1459;26
PalmasLas;13875;26
Pontevedra;9005;26
Rioja La;2881;26
Salamanca;3141;26
Santa Cruz de Tenerife;12801;26
Segovia;1510;26
Sevilla;21954;26
Soria;857;26
Tarragona;8107;26
Teruel;1355;26
Toledo;7291;26
Valencia/Valencia;26744;26
Valladolid;4524;26
Zamora;1511;26
Zaragoza;9498;26
Ceuta;1148;26
Melilla;1189;26
Albacete;4466;27
Alicante/Alacant;19756;27
Almeria;8776;27
Araba/Alava;2939;27
Asturias;8312;27
Avila;1480;27
Badajoz;7994;27
Balears Illes;15179;27
Barcelona;63509;27
Bizkaia;10026;27
Burgos;3214;27
Caceres;4047;27
Cadiz;13889;27
Cantabria;5243;27
Castellon/Castello;5710;27
CiudadReal;5729;27
Cordoba;9321;27
CoruaA;9956;27
Cuenca;2231;27
Gipuzkoa;6500;27
Girona;8385;27
Granada;11009;27
Guadalajara;2665;27
Huelva;6064;27
Huesca;2160;27
Jaen;7946;27
Leon;4128;27
Lleida;4617;27
Lugo;2904;27
Madrid;76152;27
Malaga;18239;27
Murcia;17633;27
Navarra;6594;27
Ourense;2659;27
Palencia;1484;27
PalmasLas;14221;27
Pontevedra;9075;27
Rioja La;2974;27
Salamanca;3166;27
Santa Cruz de Tenerife;12985;27
Segovia;1526;27
Sevilla;22188;27
Soria;830;27
Tarragona;8279;27
Teruel;1346;27
Toledo;7373;27
Valencia/Valencia;26942;27
Valladolid;4587;27
Zamora;1507;27
Zaragoza;9572;27
Ceuta;1109;27
Melilla;1149;27
Albacete;4602;28
Alicante/Alacant;20060;28
Almeria;8984;28
Araba/Alava;2953;28
Asturias;8378;28
Avila;1512;28
Badajoz;8000;28
Balears Illes;15700;28
Barcelona;63962;28
Bizkaia;10059;28
Burgos;3268;28
Caceres;4069;28
Cadiz;14133;28
Cantabria;5353;28
Castellon/Castello;5773;28
CiudadReal;5677;28
Cordoba;9369;28
CoruaA;10169;28
Cuenca;2254;28
Gipuzkoa;6467;28
Girona;8387;28
Granada;11019;28
Guadalajara;2644;28
Huelva;6137;28
Huesca;2132;28
Jaen;7789;28
Leon;4184;28
Lleida;4577;28
Lugo;3002;28
Madrid;76604;28
Malaga;18347;28
Murcia;17702;28
Navarra;6578;28
Ourense;2690;28
Palencia;1492;28
PalmasLas;14466;28
Pontevedra;9104;28
Rioja La;3086;28
Salamanca;3123;28
Santa Cruz de Tenerife;13183;28
Segovia;1556;28
Sevilla;22167;28
Soria;833;28
Tarragona;8338;28
Teruel;1386;28
Toledo;7266;28
Valencia/Valencia;26927;28
Valladolid;4639;28
Zamora;1538;28
Zaragoza;9669;28
Ceuta;1101;28
Melilla;1125;28
Albacete;4623;29
Alicante/Alacant;20297;29
Almeria;9146;29
Araba/Alava;3041;29
Asturias;8543;29
Avila;1538;29
Badajoz;8038;29
Balears Illes;16172;29
Barcelona;64953;29
Bizkaia;10223;29
Burgos;3373;29
Caceres;4217;29
Cadiz;14449;29
Cantabria;5439;29
Castellon/Castello;5857;29
CiudadReal;5715;29
Cordoba;9408;29
CoruaA;10474;29
Cuenca;2282;29
Gipuzkoa;6555;29
Girona;8361;29
Granada;11058;29
Guadalajara;2697;29
Huelva;6287;29
Huesca;2173;29
Jaen;7779;29
Leon;4252;29
Lleida;4626;29
Lugo;3113;29
Madrid;78740;29
Malaga;18806;29
Murcia;17879;29
Navarra;6605;29
Ourense;2769;29
Palencia;1521;29
PalmasLas;14845;29
Pontevedra;9314;29
Rioja La;3157;29
Salamanca;3165;29
Santa Cruz de Tenerife;13618;29
Segovia;1581;29
Sevilla;22083;29
Soria;878;29
Tarragona;8434;29
Teruel;1412;29
Toledo;7419;29
Valencia/Valencia;27145;29
Valladolid;4719;29
Zamora;1562;29
Zaragoza;10039;29
Ceuta;1120;29
Melilla;1113;29
Albacete;4450;30
Alicante/Alacant;20843;30
Almeria;9223;30
Araba/Alava;3261;30
Asturias;8950;30
Avila;1550;30
Badajoz;8152;30
Balears Illes;16599;30
Barcelona;65417;30
Bizkaia;10606;30
Burgos;3489;30
Caceres;4298;30
Cadiz;14571;30
Cantabria;5605;30
Castellon/Castello;6020;30
CiudadReal;5802;30
Cordoba;9381;30
CoruaA;10886;30
Cuenca;2277;30
Gipuzkoa;6699;30
Girona;8555;30
Granada;11087;30
Guadalajara;2861;30
Huelva;6445;30
Huesca;2265;30
Jaen;7706;30
Leon;4311;30
Lleida;4817;30
Lugo;3194;30
Madrid;80230;30
Malaga;19192;30
Murcia;18007;30
Navarra;6861;30
Ourense;2831;30
Palencia;1543;30
PalmasLas;15244;30
Pontevedra;9560;30
Rioja La;3227;30
Salamanca;3227;30
Santa Cruz de Tenerife;13909;30
Segovia;1600;30
Sevilla;22296;30
Soria;885;30
Tarragona;8737;30
Teruel;1409;30
Toledo;7763;30
Valencia/Valencia;27394;30
Valladolid;4809;30
Zamora;1573;30
Zaragoza;10479;30
Ceuta;1146;30
Melilla;1100;30
Albacete;4527;31
Alicante/Alacant;21240;31
Almeria;9513;31
Araba/Alava;3339;31
Asturias;9543;31
Avila;1585;31
Badajoz;8274;31
Balears Illes;16903;31
Barcelona;65743;31
Bizkaia;11098;31
Burgos;3596;31
Caceres;4331;31
Cadiz;14881;31
Cantabria;5865;31
Castellon/Castello;6227;31
CiudadReal;5824;31
Cordoba;9308;31
CoruaA;11356;31
Cuenca;2325;31
Gipuzkoa;6806;31
Girona;8688;31
Granada;11243;31
Guadalajara;3025;31
Huelva;6492;31
Huesca;2327;31
Jaen;7441;31
Leon;4429;31
Lleida;4860;31
Lugo;3319;31
Madrid;81651;31
Malaga;19650;31
Murcia;18218;31
Navarra;6879;31
Ourense;2878;31
Palencia;1593;31
PalmasLas;15414;31
Pontevedra;9771;31
Rioja La;3299;31
Salamanca;3294;31
Santa Cruz de Tenerife;13962;31
Segovia;1565;31
Sevilla;22721;31
Soria;888;31
Tarragona;9058;31
Teruel;1452;31
Toledo;7977;31
Valencia/Valencia;27764;31
Valladolid;4928;31
Zamora;1613;31
Zaragoza;10652;31
Ceuta;1123;31
Melilla;1125;31
Albacete;4662;32
Alicante/Alacant;21658;32
Almeria;9593;32
Araba/Alava;3416;32
Asturias;10133;32
Avila;1617;32
Badajoz;8260;32
Balears Illes;17150;32
Barcelona;67026;32
Bizkaia;11489;32
Burgos;3682;32
Caceres;4432;32
Cadiz;15255;32
Cantabria;6078;32
Castellon/Castello;6342;32
CiudadReal;5855;32
Cordoba;9301;32
CoruaA;11626;32
Cuenca;2359;32
Gipuzkoa;7030;32
Girona;8661;32
Granada;11340;32
Guadalajara;3115;32
Huelva;6613;32
Huesca;2395;32
Jaen;7508;32
Leon;4659;32
Lleida;4858;32
Lugo;3450;32
Madrid;83782;32
Malaga;20418;32
Murcia;18346;32
Navarra;6961;32
Ourense;2961;32
Palencia;1699;32
PalmasLas;15449;32
Pontevedra;10061;32
Rioja La;3379;32
Salamanca;3385;32
Santa Cruz de Tenerife;14038;32
Segovia;1586;32
Sevilla;23283;32
Soria;949;32
Tarragona;9118;32
Teruel;1498;32
Toledo;8194;32
Valencia/Valencia;28370;32
Valladolid;5091;32
Zamora;1626;32
Zaragoza;10937;32
Ceuta;1107;32
Melilla;1105;32
Albacete;4625;33
Alicante/Alacant;22375;33
Almeria;9651;33
Araba/Alava;3705;33
Asturias;10699;33
Avila;1624;33
Badajoz;8176;33
Balears Illes;17769;33
Barcelona;68913;33
Bizkaia;11887;33
Burgos;3850;33
Caceres;4498;33
Cadiz;15675;33
Cantabria;6459;33
Castellon/Castello;6382;33
CiudadReal;5893;33
Cordoba;9464;33
CoruaA;12074;33
Cuenca;2347;33
Gipuzkoa;7364;33
Girona;9011;33
Granada;11308;33
Guadalajara;3211;33
Huelva;6870;33
Huesca;2526;33
Jaen;7523;33
Leon;4929;33
Lleida;5022;33
Lugo;3594;33
Madrid;86315;33
Malaga;21308;33
Murcia;18723;33
Navarra;7307;33
Ourense;3129;33
Palencia;1774;33
PalmasLas;15630;33
Pontevedra;10454;33
Rioja La;3538;33
Salamanca;3402;33
Santa Cruz de Tenerife;14330;33
Segovia;1721;33
Sevilla;24161;33
Soria;1002;33
Tarragona;9504;33
Teruel;1508;33
Toledo;8493;33
Valencia/Valencia;29528;33
Valladolid;5369;33
Zamora;1679;33
Zaragoza;11388;33
Ceuta;1160;33
Melilla;1111;33
Albacete;4703;34
Alicante/Alacant;23035;34
Almeria;9848;34
Araba/Alava;3907;34
Asturias;11181;34
Avila;1681;34
Badajoz;8328;34
Balears Illes;18381;34
Barcelona;70636;34
Bizkaia;12390;34
Burgos;3980;34
Caceres;4477;34
Cadiz;16288;34
Cantabria;6834;34
Castellon/Castello;6719;34
CiudadReal;6070;34
Cordoba;9741;34
CoruaA;12977;34
Cuenca;2343;34
Gipuzkoa;7598;34
Girona;9363;34
Granada;11630;34
Guadalajara;3336;34
Huelva;7081;34
Huesca;2580;34
Jaen;7571;34
Leon;5214;34
Lleida;5217;34
Lugo;3783;34
Madrid;89869;34
Malaga;22445;34
Murcia;19443;34
Navarra;7582;34
Ourense;3273;34
Palencia;1820;34
PalmasLas;15904;34
Pontevedra;11018;34
Rioja La;3693;34
Salamanca;3557;34
Santa Cruz de Tenerife;14722;34
Segovia;1750;34
Sevilla;25294;34
Soria;1008;34
Tarragona;9998;34
Teruel;1468;34
Toledo;9011;34
Valencia/Valencia;31069;34
Valladolid;5785;34
Zamora;1765;34
Zaragoza;11811;34
Ceuta;1158;34
Melilla;1117;34
Albacete;4874;35
Alicante/Alacant;23897;35
Almeria;10149;35
Araba/Alava;4040;35
Asturias;11809;35
Avila;1732;35
Badajoz;8665;35
Balears Illes;18847;35
Barcelona;72766;35
Bizkaia;13022;35
Burgos;4096;35
Caceres;4594;35
Cadiz;16932;35
Cantabria;7182;35
Castellon/Castello;7102;35
CiudadReal;6301;35
Cordoba;9993;35
CoruaA;13855;35
Cuenca;2395;35
Gipuzkoa;7866;35
Girona;9649;35
Granada;12089;35
Guadalajara;3634;35
Huelva;7332;35
Huesca;2564;35
Jaen;7757;35
Leon;5393;35
Lleida;5439;35
Lugo;3918;35
Madrid;92752;35
Malaga;23394;35
Murcia;20294;35
Navarra;7896;35
Ourense;3435;35
Palencia;1835;35
PalmasLas;16522;35
Pontevedra;11714;35
Rioja La;3850;35
Salamanca;3719;35
Santa Cruz de Tenerife;15265;35
Segovia;1781;35
Sevilla;26494;35
Soria;1007;35
Tarragona;10341;35
Teruel;1500;35
Toledo;9446;35
Valencia/Valencia;32126;35
Valladolid;6071;35
Zamora;1807;35
Zaragoza;11964;35
Ceuta;1164;35
Melilla;1124;35
Albacete;5112;36
Alicante/Alacant;25157;36
Almeria;10663;36
Araba/Alava;4229;36
Asturias;12481;36
Avila;1784;36
Badajoz;9026;36
Balears Illes;19491;36
Barcelona;76257;36
Bizkaia;13704;36
Burgos;4229;36
Caceres;4882;36
Cadiz;17659;36
Cantabria;7613;36
Castellon/Castello;7459;36
CiudadReal;6476;36
Cordoba;10285;36
CoruaA;14757;36
Cuenca;2530;36
Gipuzkoa;8418;36
Girona;10086;36
Granada;12539;36
Guadalajara;3917;36
Huelva;7757;36
Huesca;2719;36
Jaen;7903;36
Leon;5562;36
Lleida;5662;36
Lugo;4038;36
Madrid;96348;36
Malaga;24447;36
Murcia;21557;36
Navarra;8346;36
Ourense;3550;36
Palencia;1876;36
PalmasLas;17242;36
Pontevedra;12510;36
Rioja La;4084;36
Salamanca;3887;36
Santa Cruz de Tenerife;16049;36
Segovia;1858;36
Sevilla;27889;36
Soria;1011;36
Tarragona;10980;36
Teruel;1572;36
Toledo;9847;36
Valencia/Valencia;33830;36
Valladolid;6392;36
Zamora;1886;36
Zaragoza;12420;36
Ceuta;1210;36
Melilla;1127;36
Albacete;5379;37
Alicante/Alacant;26656;37
Almeria;11200;37
Araba/Alava;4500;37
Asturias;13244;37
Avila;1876;37
Badajoz;9215;37
Balears Illes;20214;37
Barcelona;80115;37
Bizkaia;14563;37
Burgos;4424;37
Caceres;5093;37
Cadiz;18389;37
Cantabria;8158;37
Castellon/Castello;8001;37
CiudadReal;6723;37
Cordoba;10560;37
CoruaA;15831;37
Cuenca;2650;37
Gipuzkoa;8984;37
Girona;10644;37
Granada;13059;37
Guadalajara;4100;37
Huelva;8111;37
Huesca;2936;37
Jaen;8091;37
Leon;5848;37
Lleida;6038;37
Lugo;4254;37
Madrid;101051;37
Malaga;25557;37
Murcia;22933;37
Navarra;8992;37
Ourense;3641;37
Palencia;1995;37
PalmasLas;17869;37
Pontevedra;13427;37
Rioja La;4322;37
Salamanca;4064;37
Santa Cruz de Tenerife;16891;37
Segovia;1946;37
Sevilla;29151;37
Soria;1071;37
Tarragona;11688;37
Teruel;1675;37
Toledo;10529;37
Valencia/Valencia;36252;37
Valladolid;6818;37
Zamora;1962;37
Zaragoza;13360;37
Ceuta;1224;37
Melilla;1140;37
Albacete;5548;38
Alicante/Alacant;28106;38
Almeria;11579;38
Araba/Alava;4772;38
Asturias;14105;38
Avila;1961;38
Badajoz;9392;38
Balears Illes;20929;38
Barcelona;83913;38
Bizkaia;15367;38
Burgos;4686;38
Caceres;5219;38
Cadiz;19101;38
Cantabria;8768;38
Castellon/Castello;8592;38
CiudadReal;6962;38
Cordoba;10916;38
CoruaA;16792;38
Cuenca;2767;38
Gipuzkoa;9352;38
Girona;11449;38
Granada;13711;38
Guadalajara;4384;38
Huelva;8452;38
Huesca;3129;38
Jaen;8521;38
Leon;6139;38
Lleida;6473;38
Lugo;4532;38
Madrid;104775;38
Malaga;26596;38
Murcia;24223;38
Navarra;9485;38
Ourense;3889;38
Palencia;2126;38
PalmasLas;18647;38
Pontevedra;14340;38
Rioja La;4557;38
Salamanca;4161;38
Santa Cruz de Tenerife;17471;38
Segovia;2060;38
Sevilla;30506;38
Soria;1127;38
Tarragona;12226;38
Teruel;1784;38
Toledo;11203;38
Valencia/Valencia;38444;38
Valladolid;7321;38
Zamora;2071;38
Zaragoza;14179;38
Ceuta;1278;38
Melilla;1190;38
Albacete;5744;39
Alicante/Alacant;29153;39
Almeria;11900;39
Araba/Alava;5054;39
Asturias;14908;39
Avila;2053;39
Badajoz;9661;39
Balears Illes;21452;39
Barcelona;87579;39
Bizkaia;16119;39
Burgos;4873;39
Caceres;5313;39
Cadiz;19852;39
Cantabria;9199;39
Castellon/Castello;9250;39
CiudadReal;7211;39
Cordoba;11369;39
CoruaA;17430;39
Cuenca;2833;39
Gipuzkoa;9851;39
Girona;12089;39
Granada;14135;39
Guadalajara;4585;39
Huelva;8843;39
Huesca;3279;39
Jaen;8856;39
Leon;6329;39
Lleida;6811;39
Lugo;4720;39
Madrid;108464;39
Malaga;27294;39
Murcia;24938;39
Navarra;9765;39
Ourense;4127;39
Palencia;2217;39
PalmasLas;19257;39
Pontevedra;15207;39
Rioja La;4840;39
Salamanca;4326;39
Santa Cruz de Tenerife;17852;39
Segovia;2162;39
Sevilla;31746;39
Soria;1186;39
Tarragona;12807;39
Teruel;1833;39
Toledo;11500;39
Valencia/Valencia;40650;39
Valladolid;7850;39
Zamora;2189;39
Zaragoza;14813;39
Ceuta;1285;39
Melilla;1194;39
Albacete;6050;40
Alicante/Alacant;30197;40
Almeria;12060;40
Araba/Alava;5345;40
Asturias;15772;40
Avila;2170;40
Badajoz;9864;40
Balears Illes;21781;40
Barcelona;91769;40
Bizkaia;17244;40
Burgos;5208;40
Caceres;5411;40
Cadiz;20404;40
Cantabria;9621;40
Castellon/Castello;9738;40
CiudadReal;7389;40
Cordoba;11642;40
CoruaA;18300;40
Cuenca;2850;40
Gipuzkoa;10573;40
Girona;12548;40
Granada;14459;40
Guadalajara;4764;40
Huelva;9053;40
Huesca;3360;40
Jaen;8865;40
Leon;6498;40
Lleida;7096;40
Lugo;4852;40
Madrid;113230;40
Malaga;27894;40
Murcia;25647;40
Navarra;10155;40
Ourense;4274;40
Palencia;2300;40
PalmasLas;19570;40
Pontevedra;16052;40
Rioja La;5150;40
Salamanca;4469;40
Santa Cruz de Tenerife;18165;40
Segovia;2204;40
Sevilla;33035;40
Soria;1249;40
Tarragona;13416;40
Teruel;1836;40
Toledo;11806;40
Valencia/Valencia;42863;40
Valladolid;8350;40
Zamora;2288;40
Zaragoza;15454;40
Ceuta;1249;40
Melilla;1155;40
Albacete;6149;41
Alicante/Alacant;31180;41
Almeria;12189;41
Araba/Alava;5453;41
Asturias;16572;41
Avila;2257;41
Badajoz;9964;41
Balears Illes;21892;41
Barcelona;95696;41
Bizkaia;18132;41
Burgos;5473;41
Caceres;5441;41
Cadiz;20894;41
Cantabria;9957;41
Castellon/Castello;9955;41
CiudadReal;7418;41
Cordoba;11847;41
CoruaA;19073;41
Cuenca;2897;41
Gipuzkoa;11309;41
Girona;12956;41
Granada;14662;41
Guadalajara;4913;41
Huelva;9178;41
Huesca;3511;41
Jaen;8882;41
Leon;6668;41
Lleida;7371;41
Lugo;4928;41
Madrid;116714;41
Malaga;28564;41
Murcia;26148;41
Navarra;10612;41
Ourense;4378;41
Palencia;2325;41
PalmasLas;19694;41
Pontevedra;16639;41
Rioja La;5290;41
Salamanca;4538;41
Santa Cruz de Tenerife;18475;41
Segovia;2228;41
Sevilla;34195;41
Soria;1238;41
Tarragona;14045;41
Teruel;1877;41
Toledo;12007;41
Valencia/Valencia;44455;41
Valladolid;8645;41
Zamora;2377;41
Zaragoza;16089;41
Ceuta;1250;41
Melilla;1146;41
Albacete;6191;42
Alicante/Alacant;31640;42
Almeria;12393;42
Araba/Alava;5628;42
Asturias;17178;42
Avila;2287;42
Badajoz;10140;42
Balears Illes;21991;42
Barcelona;97627;42
Bizkaia;18631;42
Burgos;5630;42
Caceres;5562;42
Cadiz;21209;42
Cantabria;10120;42
Castellon/Castello;10125;42
CiudadReal;7476;42
Cordoba;11939;42
CoruaA;19354;42
Cuenca;2990;42
Gipuzkoa;11775;42
Girona;12905;42
Granada;14589;42
Guadalajara;4973;42
Huelva;9347;42
Huesca;3543;42
Jaen;9000;42
Leon;6769;42
Lleida;7563;42
Lugo;4949;42
Madrid;119544;42
Malaga;28769;42
Murcia;26033;42
Navarra;10908;42
Ourense;4545;42
Palencia;2283;42
PalmasLas;19885;42
Pontevedra;16981;42
Rioja La;5361;42
Salamanca;4634;42
Santa Cruz de Tenerife;18945;42
Segovia;2312;42
Sevilla;34393;42
Soria;1284;42
Tarragona;14301;42
Teruel;1899;42
Toledo;12185;42
Valencia/Valencia;44934;42
Valladolid;8953;42
Zamora;2406;42
Zaragoza;16415;42
Ceuta;1261;42
Melilla;1139;42
Albacete;6313;43
Alicante/Alacant;31560;43
Almeria;12335;43
Araba/Alava;5731;43
Asturias;17370;43
Avila;2363;43
Badajoz;10306;43
Balears Illes;22029;43
Barcelona;98856;43
Bizkaia;18907;43
Burgos;5716;43
Caceres;5644;43
Cadiz;21153;43
Cantabria;10180;43
Castellon/Castello;10065;43
CiudadReal;7500;43
Cordoba;11926;43
CoruaA;19465;43
Cuenca;2980;43
Gipuzkoa;11798;43
Girona;12805;43
Granada;14597;43
Guadalajara;4983;43
Huelva;9302;43
Huesca;3521;43
Jaen;9191;43
Leon;6789;43
Lleida;7444;43
Lugo;4940;43
Madrid;121136;43
Malaga;28825;43
Murcia;25882;43
Navarra;11076;43
Ourense;4567;43
Palencia;2269;43
PalmasLas;20262;43
Pontevedra;17039;43
Rioja La;5372;43
Salamanca;4659;43
Santa Cruz de Tenerife;19231;43
Segovia;2335;43
Sevilla;34140;43
Soria;1317;43
Tarragona;14185;43
Teruel;1883;43
Toledo;12110;43
Valencia/Valencia;44852;43
Valladolid;9025;43
Zamora;2419;43
Zaragoza;16640;43
Ceuta;1329;43
Melilla;1113;43
Albacete;6300;44
Alicante/Alacant;31399;44
Almeria;11915;44
Araba/Alava;5573;44
Asturias;17261;44
Avila;2359;44
Badajoz;10264;44
Balears Illes;21826;44
Barcelona;98925;44
Bizkaia;18775;44
Burgos;5668;44
Caceres;5597;44
Cadiz;21027;44
Cantabria;9905;44
Castellon/Castello;9885;44
CiudadReal;7467;44
Cordoba;11877;44
CoruaA;19226;44
Cuenca;2924;44
Gipuzkoa;11846;44
Girona;12774;44
Granada;14521;44
Guadalajara;4880;44
Huelva;9093;44
Huesca;3497;44
Jaen;9163;44
Leon;6783;44
Lleida;7310;44
Lugo;4906;44
Madrid;120218;44
Malaga;28489;44
Murcia;25690;44
Navarra;11022;44
Ourense;4456;44
Palencia;2267;44
PalmasLas;20727;44
Pontevedra;16732;44
Rioja La;5276;44
Salamanca;4731;44
Santa Cruz de Tenerife;19299;44
Segovia;2386;44
Sevilla;33794;44
Soria;1294;44
Tarragona;13936;44
Teruel;1923;44
Toledo;11699;44
Valencia/Valencia;44640;44
Valladolid;8927;44
Zamora;2328;44
Zaragoza;16529;44
Ceuta;1334;44
Melilla;1106;44
Albacete;6204;45
Alicante/Alacant;31143;45
Almeria;11517;45
Araba/Alava;5453;45
Asturias;16929;45
Avila;2303;45
Badajoz;10268;45
Balears Illes;21459;45
Barcelona;96877;45
Bizkaia;18538;45
Burgos;5661;45
Caceres;5732;45
Cadiz;20746;45
Cantabria;9634;45
Castellon/Castello;9730;45
CiudadReal;7432;45
Cordoba;11676;45
CoruaA;18766;45
Cuenca;2936;45
Gipuzkoa;11821;45
Girona;12486;45
Granada;14350;45
Guadalajara;4749;45
Huelva;8955;45
Huesca;3416;45
Jaen;9125;45
Leon;6824;45
Lleida;7265;45
Lugo;4831;45
Madrid;117741;45
Malaga;28185;45
Murcia;25199;45
Navarra;10724;45
Ourense;4389;45
Palencia;2264;45
PalmasLas;21200;45
Pontevedra;16200;45
Rioja La;5176;45
Salamanca;4804;45
Santa Cruz de Tenerife;19466;45
Segovia;2402;45
Sevilla;33288;45
Soria;1261;45
Tarragona;13527;45
Teruel;1909;45
Toledo;11581;45
Valencia/Valencia;43629;45
Valladolid;8917;45
Zamora;2273;45
Zaragoza;16073;45
Ceuta;1247;45
Melilla;1062;45
Albacete;6102;46
Alicante/Alacant;30599;46
Almeria;11350;46
Araba/Alava;5390;46
Asturias;16789;46
Avila;2321;46
Badajoz;10405;46
Balears Illes;21031;46
Barcelona;94399;46
Bizkaia;18525;46
Burgos;5580;46
Caceres;5800;46
Cadiz;20593;46
Cantabria;9631;46
Castellon/Castello;9558;46
CiudadReal;7430;46
Cordoba;11656;46
CoruaA;18579;46
Cuenca;2901;46
Gipuzkoa;11693;46
Girona;12320;46
Granada;14184;46
Guadalajara;4641;46
Huelva;8850;46
Huesca;3403;46
Jaen;9293;46
Leon;6849;46
Lleida;7117;46
Lugo;4747;46
Madrid;114671;46
Malaga;28108;46
Murcia;24576;46
Navarra;10532;46
Ourense;4368;46
Palencia;2283;46
PalmasLas;21505;46
Pontevedra;15956;46
Rioja La;5077;46
Salamanca;4826;46
Santa Cruz de Tenerife;19411;46
Segovia;2332;46
Sevilla;32754;46
Soria;1283;46
Tarragona;13373;46
Teruel;1901;46
Toledo;11335;46
Valencia/Valencia;42531;46
Valladolid;8727;46
Zamora;2360;46
Zaragoza;15974;46
Ceuta;1237;46
Melilla;1039;46
Albacete;6069;47
Alicante/Alacant;30279;47
Almeria;11196;47
Araba/Alava;5389;47
Asturias;16779;47
Avila;2315;47
Badajoz;10424;47
Balears Illes;20740;47
Barcelona;92297;47
Bizkaia;18579;47
Burgos;5554;47
Caceres;5848;47
Cadiz;20424;47
Cantabria;9432;47
Castellon/Castello;9467;47
CiudadReal;7417;47
Cordoba;11788;47
CoruaA;18471;47
Cuenca;2895;47
Gipuzkoa;11543;47
Girona;12172;47
Granada;14136;47
Guadalajara;4569;47
Huelva;8785;47
Huesca;3382;47
Jaen;9372;47
Leon;6964;47
Lleida;6930;47
Lugo;4776;47
Madrid;112832;47
Malaga;27715;47
Murcia;24077;47
Navarra;10489;47
Ourense;4368;47
Palencia;2331;47
PalmasLas;21631;47
Pontevedra;15762;47
Rioja La;5011;47
Salamanca;4994;47
Santa Cruz de Tenerife;19169;47
Segovia;2373;47
Sevilla;32215;47
Soria;1316;47
Tarragona;13133;47
Teruel;1941;47
Toledo;11091;47
Valencia/Valencia;42336;47
Valladolid;8669;47
Zamora;2431;47
Zaragoza;15840;47
Ceuta;1226;47
Melilla;1066;47
Albacete;6107;48
Alicante/Alacant;30012;48
Almeria;10906;48
Araba/Alava;5294;48
Asturias;16380;48
Avila;2324;48
Badajoz;10329;48
Balears Illes;20075;48
Barcelona;90282;48
Bizkaia;18313;48
Burgos;5509;48
Caceres;5905;48
Cadiz;20479;48
Cantabria;9387;48
Castellon/Castello;9344;48
CiudadReal;7435;48
Cordoba;11839;48
CoruaA;18051;48
Cuenca;2981;48
Gipuzkoa;11253;48
Girona;11948;48
Granada;14046;48
Guadalajara;4434;48
Huelva;8634;48
Huesca;3367;48
Jaen;9481;48
Leon;7036;48
Lleida;6804;48
Lugo;4787;48
Madrid;109983;48
Malaga;27092;48
Murcia;23704;48
Navarra;10452;48
Ourense;4348;48
Palencia;2380;48
PalmasLas;21407;48
Pontevedra;15437;48
Rioja La;4944;48
Salamanca;5093;48
Santa Cruz de Tenerife;18897;48
