region;value;age
Valladolid;4390;4
Zamora;998;4
Zaragoza;9050;4
Ceuta;1080;4
Melilla;1476;4
Albacete;3622;  5 
Alicante/Alacant;17417;  5 
Almeria;8066;  5 
Araba/Alava;3321;  5 
Asturias;6925;  5 
Avila;1224;  5 
Badajoz;6063;  5 
Balears Illes;11482;  5 
Barcelona;54408;  5 
Bizkaia;9954;  5 
Burgos;3038;  5 
Caceres;3001;  5 
Cadiz;12265;  5 
Cantabria;4826;  5 
Castellon/Castello;5614;  5 
CiudadReal;4402;  5 
Cordoba;7235;  5 
CoruaA;8663;  5 
Cuenca;1624;  5 
Gipuzkoa;6546;  5 
Girona;7926;  5 
Granada;8582;  5 
Guadalajara;2713;  5 
Huelva;5288;  5 
Huesca;1945;  5 
Jaen;5467;  5 
Leon;3098;  5 
Lleida;4251;  5 
Lugo;2162;  5 
Madrid;67305;  5 
Malaga;16707;  5 
Murcia;16697;  5 
Navarra;6551;  5 
Ourense;1926;  5 
Palencia;1195;  5 
PalmasLas;9239;  5 
Pontevedra;7595;  5 
Rioja La;2981;  5 
Salamanca;2353;  5 
Santa Cruz de Tenerife;8441;  5 
Segovia;1288;  5 
Sevilla;20324;  5 
Soria;688;  5 
Tarragona;8058;  5 
Teruel;1159;  5 
Toledo;7161;  5 
Valencia/Valencia;24080;  5 
Valladolid;4459;  5 
Zamora;1030;  5 
Zaragoza;9074;  5 
Ceuta;1071;  5 
Melilla;1452;  5 
Albacete;3656;6
Alicante/Alacant;17777;6
Almeria;8003;6
Araba/Alava;3359;6
Asturias;7382;6
Avila;1225;6
Badajoz;6219;6
Balears Illes;11631;6
Barcelona;55634;6
Bizkaia;10239;6
Burgos;3148;6
Caceres;2956;6
Cadiz;12644;6
Cantabria;5079;6
Castellon/Castello;5772;6
CiudadReal;4655;6
Cordoba;7427;6
CoruaA;9031;6
Cuenca;1621;6
Gipuzkoa;6823;6
Girona;8126;6
Granada;8823;6
Guadalajara;2838;6
Huelva;5279;6
Huesca;2002;6
Jaen;5618;6
Leon;3195;6
Lleida;4321;6
Lugo;2217;6
Madrid;68200;6
Malaga;17205;6
Murcia;16818;6
Navarra;6729;6
Ourense;1949;6
Palencia;1190;6
PalmasLas;9362;6
Pontevedra;7830;6
Rioja La;3066;6
Salamanca;2429;6
Santa Cruz de Tenerife;8734;6
Segovia;1300;6
Sevilla;20709;6
Soria;723;6
Tarragona;8230;6
Teruel;1152;6
Toledo;7397;6
Valencia/Valencia;24797;6
Valladolid;4600;6
Zamora;1096;6
Zaragoza;9059;6
Ceuta;1065;6
Melilla;1399;6
Albacete;3806;7
Alicante/Alacant;18391;7
Almeria;8159;7
Araba/Alava;3536;7
Asturias;7917;7
Avila;1319;7
Badajoz;6525;7
Balears Illes;11972;7
Barcelona;58838;7
Bizkaia;10727;7
Burgos;3198;7
Caceres;3168;7
Cadiz;13283;7
Cantabria;5333;7
Castellon/Castello;5987;7
CiudadReal;4881;7
Cordoba;7750;7
CoruaA;9398;7
Cuenca;1680;7
Gipuzkoa;7201;7
Girona;8441;7
Granada;9276;7
Guadalajara;2974;7
Huelva;5420;7
Huesca;2000;7
Jaen;5929;7
Leon;3338;7
Lleida;4517;7
Lugo;2282;7
Madrid;71258;7
Malaga;17958;7
Murcia;17199;7
Navarra;7085;7
Ourense;2031;7
Palencia;1218;7
PalmasLas;9627;7
Pontevedra;8251;7
Rioja La;3149;7
Salamanca;2624;7
Santa Cruz de Tenerife;9262;7
Segovia;1407;7
Sevilla;21929;7
Soria;756;7
Tarragona;8787;7
Teruel;1193;7
Toledo;7757;7
Valencia/Valencia;25849;7
Valladolid;4749;7
Zamora;1123;7
Zaragoza;9432;7
Ceuta;1181;7
Melilla;1448;7
Albacete;3918;8
Alicante/Alacant;18808;8
Almeria;8245;8
Araba/Alava;3610;8
Asturias;7969;8
Avila;1355;8
Badajoz;6676;8
Balears Illes;12248;8
Barcelona;60694;8
Bizkaia;10925;8
Burgos;3224;8
Caceres;3422;8
Cadiz;13838;8
Cantabria;5561;8
Castellon/Castello;6010;8
CiudadReal;4977;8
Cordoba;7820;8
CoruaA;9627;8
Cuenca;1729;8
Gipuzkoa;7401;8
Girona;8589;8
Granada;9394;8
Guadalajara;3087;8
Huelva;5738;8
Huesca;2083;8
Jaen;6041;8
Leon;3447;8
Lleida;4598;8
Lugo;2274;8
Madrid;71898;8
Malaga;18282;8
Murcia;17304;8
Navarra;7147;8
Ourense;2122;8
Palencia;1214;8
PalmasLas;10104;8
Pontevedra;8484;8
Rioja La;3176;8
Salamanca;2667;8
Santa Cruz de Tenerife;9369;8
Segovia;1458;8
Sevilla;22913;8
Soria;771;8
Tarragona;9243;8
Teruel;1197;8
Toledo;7973;8
Valencia/Valencia;26530;8
Valladolid;4908;8
Zamora;1144;8
Zaragoza;9771;8
Ceuta;1273;8
Melilla;1426;8
Albacete;4014;9
Alicante/Alacant;19339;9
Almeria;8318;9
Araba/Alava;3540;9
Asturias;8233;9
Avila;1391;9
Badajoz;6876;9
Balears Illes;12412;9
Barcelona;60851;9
Bizkaia;10988;9
Burgos;3223;9
Caceres;3507;9
Cadiz;14333;9
Cantabria;5741;9
Castellon/Castello;6044;9
CiudadReal;5022;9
Cordoba;7958;9
CoruaA;9869;9
Cuenca;1757;9
Gipuzkoa;7494;9
Girona;8722;9
Granada;9657;9
Guadalajara;3191;9
Huelva;5980;9
Huesca;2142;9
Jaen;6263;9
Leon;3508;9
Lleida;4681;9
Lugo;2312;9
Madrid;71740;9
Malaga;18539;9
Murcia;17494;9
Navarra;7178;9
Ourense;2166;9
Palencia;1229;9
PalmasLas;10720;9
Pontevedra;8768;9
Rioja La;3228;9
Salamanca;2690;9
Santa Cruz de Tenerife;9645;9
Segovia;1466;9
